ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,school_holiday,school_holiday_lower,school_holiday_upper,state_holiday,state_holiday_lower,state_holiday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-02,4982.885057448273,3935.6310404310366,7057.243032917222,4982.885057448273,4982.885057448273,497.1494742391805,497.1494742391805,497.1494742391805,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-265.7842282004389,-265.7842282004389,-265.7842282004389,346.74203798232674,346.74203798232674,346.74203798232674,0.0,0.0,0.0,5480.034531687454
2013-01-03,4981.601882452716,3673.2847752836337,6851.0494563070115,4981.601882452716,4981.601882452716,288.74624283590083,288.74624283590083,288.74624283590083,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-362.0918193022823,-362.0918193022823,-362.0918193022823,234.64639768089046,234.64639768089046,234.64639768089046,0.0,0.0,0.0,5270.348125288618
2013-01-04,4980.31870745716,3700.5369014983585,7053.634682854489,4980.31870745716,4980.31870745716,428.66298908384226,428.66298908384226,428.66298908384226,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-119.27561015445943,-119.27561015445943,-119.27561015445943,131.746934781009,131.746934781009,131.746934781009,0.0,0.0,0.0,5408.981696541002
2013-01-05,4979.035532461603,4012.3529046781687,7383.229580543813,4979.035532461603,4979.035532461603,728.338712095089,728.338712095089,728.338712095089,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,273.09148471894525,273.09148471894525,273.09148471894525,39.055562918851095,39.055562918851095,39.055562918851095,0.0,0.0,0.0,5707.374244556692
2013-01-07,4976.4691824704905,3925.193359511082,7260.538516809492,4976.4691824704905,4976.4691824704905,653.2389591025219,653.2389591025219,653.2389591025219,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,349.82288763925106,349.82288763925106,349.82288763925106,-112.77559299402178,-112.77559299402178,-112.77559299402178,0.0,0.0,0.0,5629.708141573013
2013-01-08,4975.186007474934,3339.397094518369,6651.1049425142355,4975.186007474934,4975.186007474934,96.65396411560904,96.65396411560904,96.65396411560904,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-148.50063273399252,-148.50063273399252,-148.50063273399252,-171.03706760769117,-171.03706760769117,-171.03706760769117,0.0,0.0,0.0,5071.8399715905425
2013-01-09,4973.902832479377,3318.3097082986765,6491.088885286437,4973.902832479377,4973.902832479377,-66.93062938052745,-66.93062938052745,-66.93062938052745,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-265.784228200118,-265.784228200118,-265.784228200118,-217.33806563770213,-217.33806563770213,-217.33806563770213,0.0,0.0,0.0,4906.97220309885
2013-01-10,4972.61965748382,3218.838740200744,6391.760777986903,4972.61965748382,4972.61965748382,-197.72516921411696,-197.72516921411696,-197.72516921411696,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-362.0918193013111,-362.0918193013111,-362.0918193013111,-251.82501437009864,-251.82501437009864,-251.82501437009864,0.0,0.0,0.0,4774.894488269703
2013-01-11,4971.336482488264,3415.3420433067718,6534.6062219717405,4971.336482488264,4971.336482488264,22.051920142203357,22.051920142203357,22.051920142203357,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-119.27561015368077,-119.27561015368077,-119.27561015368077,-274.8641341614085,-274.8641341614085,-274.8641341614085,0.0,0.0,0.0,4993.388402630467
2013-01-12,4970.053307492707,3297.796161754972,6683.406574734525,4970.053307492707,4970.053307492707,-13.934500772551232,-13.934500772551232,-13.934500772551232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.09148471873823,273.09148471873823,273.09148471873823,-287.0259854912895,-287.0259854912895,-287.0259854912895,0.0,0.0,0.0,4956.118806720156
